Capability ID,Area,Haskell source,Python target,User-visible behavior,Priority,State,Verification level,Known divergences,Notes
AST-CORE-001,AST,src/Text/Pandoc/Definition.hs,src/pandoc_py/ast/__init__.py,Document and base block/inline node definitions,High,verified_smoke,smoke,,Current document/root and base block-inline definitions anchored against local pandoc-types source snapshot for active slice
AST-INLINE-SPACE-001,AST,src/Text/Pandoc/Definition.hs,src/pandoc_py/ast/__init__.py,Space inline node supported,High,verified_smoke,smoke,,Minimal spacing semantics active
AST-INLINE-SOFTBREAK-001,AST,src/Text/Pandoc/Definition.hs,src/pandoc_py/ast/__init__.py,SoftBreak inline node supported,High,verified_smoke,smoke,,Rendered as space in markdown writer for current parity
RD-MD-PARA-001,Reader,src/Text/Pandoc/Readers/Markdown.hs,src/pandoc_py/readers/markdown.py,Plain paragraph parsing,High,verified_smoke,smoke,,Single and multiple paragraphs supported
RD-MD-ATX-001,Reader,src/Text/Pandoc/Readers/Markdown.hs,src/pandoc_py/readers/markdown.py,Constrained ATX heading parsing,High,verified_smoke,smoke,,Current slice verified on markdown and structured JSON routes
WR-MD-PARA-001,Writer,src/Text/Pandoc/Writers/Markdown.hs,src/pandoc_py/writers/markdown.py,Plain paragraph writing,High,verified_smoke,smoke,,
WR-MD-ATX-001,Writer,src/Text/Pandoc/Writers/Markdown.hs,src/pandoc_py/writers/markdown.py,Constrained ATX heading writing,High,verified_smoke,smoke,,
CLI-MD-MD-001,CLI,src/Text/Pandoc/App.hs,src/pandoc_py/cli/main.py,markdown -> markdown route through AST,High,verified_smoke,smoke,,"Markdown surface smoke active for paragraphs, headings, inline slice, and constrained bullet lists"
VER-DIFF-001,Verification,tests and CLI oracle,scripts/run_differential.py,Differential runner executes oracle vs python path,High,verified_smoke,smoke,,
AST-INLINE-EMPH-001,AST,src/Text/Pandoc/Definition.hs,src/pandoc_py/ast/__init__.py,Emph inline node supported,High,verified_smoke,smoke,,Star-delimited emphasis only; nesting still outside scope
AST-INLINE-STRONG-001,AST,src/Text/Pandoc/Definition.hs,src/pandoc_py/ast/__init__.py,Strong inline node supported,High,verified_smoke,smoke,,Double-star strong only; nesting still outside scope
RD-MD-EMPH-001,Reader,src/Text/Pandoc/Readers/Markdown.hs,src/pandoc_py/readers/markdown.py,Constrained star-delimited emphasis parsing,High,verified_smoke,smoke,,"No nesting, no underscore delimiters yet"
RD-MD-STRONG-001,Reader,src/Text/Pandoc/Readers/Markdown.hs,src/pandoc_py/readers/markdown.py,Constrained star-delimited strong parsing,High,verified_smoke,smoke,,"No nesting, no underscore delimiters yet"
WR-MD-EMPH-001,Writer,src/Text/Pandoc/Writers/Markdown.hs,src/pandoc_py/writers/markdown.py,Constrained star-delimited emphasis writing,High,verified_smoke,smoke,,Always emits `*...*`
WR-MD-STRONG-001,Writer,src/Text/Pandoc/Writers/Markdown.hs,src/pandoc_py/writers/markdown.py,Constrained star-delimited strong writing,High,verified_smoke,smoke,,Always emits `**...**`
WR-JSON-001,Writer,src/Text/Pandoc/JSON.hs,src/pandoc_py/writers/pandoc_json.py,Pandoc-JSON subset writing for current AST slice,High,verified_smoke,smoke,,"Paragraph, heading, bullet-list, emph, strong, softbreak, code, and link slice only"
CLI-MD-JSON-001,CLI,src/Text/Pandoc/App.hs,src/pandoc_py/cli/main.py,markdown -> json route through AST,High,verified_smoke,smoke,,"Structured JSON smoke active for paragraphs, headings, constrained bullet lists, and current inline slice"
VER-DIFF-JSON-001,Verification,tests and CLI oracle,scripts/run_differential.py,Structured JSON differential comparison,High,verified_smoke,smoke,,Uses exact structured JSON comparison for current slice
AST-INLINE-CODE-001,AST,src/Text/Pandoc/Definition.hs,src/pandoc_py/ast/__init__.py,Code inline node supported,High,verified_smoke,smoke,,Single-backtick code spans only; multi-backtick cases remain outside scope
RD-MD-CODE-001,Reader,src/Text/Pandoc/Readers/Markdown.hs,src/pandoc_py/readers/markdown.py,Constrained single-backtick code span parsing,High,verified_smoke,smoke,,"No multi-backtick handling, no edge-spaced code spans yet"
WR-MD-CODE-001,Writer,src/Text/Pandoc/Writers/Markdown.hs,src/pandoc_py/writers/markdown.py,Constrained single-backtick code span writing,High,verified_smoke,smoke,,Always emits single-backtick code spans for current slice
WR-JSON-CODE-001,Writer,src/Text/Pandoc/JSON.hs,src/pandoc_py/writers/pandoc_json.py,Pandoc-JSON Code inline payload supported,High,verified_smoke,smoke,,Emits Pandoc Code payload with empty attributes for current slice
AST-INLINE-LINK-001,AST,src/Text/Pandoc/Definition.hs,src/pandoc_py/ast/__init__.py,Link inline node supported,High,verified_smoke,smoke,,"Inline links only; titles, images, autolinks, and reference links remain outside scope"
RD-MD-LINK-001,Reader,src/Text/Pandoc/Readers/Markdown.hs,src/pandoc_py/readers/markdown.py,Constrained inline link parsing,High,verified_smoke,smoke,,Supports direct inline links with simple labels and targets; titles and reference forms are tracked separately.
WR-MD-LINK-001,Writer,src/Text/Pandoc/Writers/Markdown.hs,src/pandoc_py/writers/markdown.py,Constrained inline link writing,High,verified_smoke,smoke,,Link nodes emit inline link markdown; titled links are supported and reference forms normalize to inline output.
WR-JSON-LINK-001,Writer,src/Text/Pandoc/JSON.hs,src/pandoc_py/writers/pandoc_json.py,Pandoc-JSON Link inline payload supported,High,verified_smoke,smoke,,Links emit Link payloads with target/title tuples; autolink classes are tracked separately.
AST-BLOCK-BLIST-001,AST,src/Text/Pandoc/Definition.hs,src/pandoc_py/ast/__init__.py,BulletList block node supported,High,verified_smoke,smoke,,Top-level tight hyphen bullet lists only; one paragraph per item in current slice
RD-MD-BLIST-001,Reader,src/Text/Pandoc/Readers/Markdown.hs,src/pandoc_py/readers/markdown.py,Constrained hyphen bullet-list parsing,High,verified_smoke,smoke,,"Top-level tight lists only; no nesting, continuations, loose lists, or non-hyphen markers"
WR-MD-BLIST-001,Writer,src/Text/Pandoc/Writers/Markdown.hs,src/pandoc_py/writers/markdown.py,Constrained hyphen bullet-list writing,High,verified_smoke,smoke,,Emits Pandoc-aligned tight-list surface with one paragraph per item in current slice
