Capability ID,Area,Haskell source,Python target,User-visible behavior,Priority,State,Verification level,Known divergences,Notes
IO-BASE-READER-001,IO,src/Text/Pandoc/Readers.hs,src/pandoc_py/io/base.py,Reader abstract base class,High,verified_smoke,smoke,,Tested via test_format_registry_surface.
IO-BASE-WRITER-001,IO,src/Text/Pandoc/Writers.hs,src/pandoc_py/io/base.py,Writer abstract base class,High,verified_smoke,smoke,,Tested via test_format_registry_surface.
IO-REGISTRY-001,IO,src/Text/Pandoc/Readers.hs ; src/Text/Pandoc/Writers.hs,src/pandoc_py/io/registry.py,Process-global FormatRegistry routing readers and writers by name plus aliases,High,verified_smoke,smoke,,Smoke verified via test_registry_lists_core_formats and per-family tests.
IO-BOOTSTRAP-001,IO,n/a,src/pandoc_py/io/bootstrap.py,Boots all built-in core formats into the registry at import,High,verified_smoke,smoke,,Smoke verified via test_format_aliases_resolve_through_cli.
IO-ADAPTERS-001,IO,n/a,src/pandoc_py/io/adapters.py,Adapters wrapping legacy callable readers/writers as Reader/Writer instances,High,verified_smoke,smoke,,Used by bootstrap for the original 6 formats.
APP-DISPATCHER-001,App,src/Text/Pandoc/App.hs,src/pandoc_py/app.py,Top-level convert_text/read_document/write_document dispatch through the registry,High,verified_smoke,smoke,,Existing CLI tests pass with the registry-backed dispatcher.
RD-RST-001,Reader,src/Text/Pandoc/Readers/RST.hs,src/pandoc_py/formats/rst.py,RST reader on the constrained slice (headings underlines bullets numbers literal blocks),High,verified_smoke,smoke,Inline emphasis/role syntax outside slice,"Smoke verified via round-trip unit tests; oracle differential pending. Oracle-backed via FAMILIES-MD2<FMT>-001 / FAMILIES-RD-<FMT>-001 (markdown<->format reparse, structured JSON match with normalization)."
WR-RST-001,Writer,src/Text/Pandoc/Writers/RST.hs,src/pandoc_py/formats/rst.py,RST writer on the constrained slice,High,verified_smoke,smoke,,"Smoke verified via test_markdown_to_format_round_trip_constrained_slice. Oracle-backed via FAMILIES-MD2RST-001 (markdown→format→oracle reparse, structured JSON match)."
RD-ORG-001,Reader,src/Text/Pandoc/Readers/Org.hs,src/pandoc_py/formats/org.py,Org-mode reader on the constrained slice,High,verified_smoke,smoke,Drawer/property syntax outside slice,"Smoke verified via round-trip unit tests; oracle differential pending. Oracle-backed reader via FAMILIES-RD-<FMT>-001 (format -> json structured comparison, normalized)."
WR-ORG-001,Writer,src/Text/Pandoc/Writers/Org.hs,src/pandoc_py/formats/org.py,Org-mode writer on the constrained slice,High,verified_smoke,smoke,,"Smoke verified via round-trip. Oracle-backed via FAMILIES-MD2<FMT>-001 / FAMILIES-RD-<FMT>-001 (markdown<->format reparse, structured JSON match with normalization)."
RD-LATEX-001,Reader,src/Text/Pandoc/Readers/LaTeX.hs,src/pandoc_py/formats/latex.py,LaTeX reader on the constrained slice (sectioning lists itemize enumerate quote verbatim),High,verified_smoke,smoke,Macros/preamble outside slice,"Smoke verified via round-trip; oracle differential pending. Oracle-backed reader via FAMILIES-RD-<FMT>-001 (format -> json structured comparison, normalized)."
WR-LATEX-001,Writer,src/Text/Pandoc/Writers/LaTeX.hs,src/pandoc_py/formats/latex.py,LaTeX writer on the constrained slice,High,verified_smoke,smoke,,"Smoke verified via round-trip. Oracle-backed via FAMILIES-MD2LATEX-001 (markdown→format→oracle reparse, structured JSON match)."
RD-ASCIIDOC-001,Reader,src/Text/Pandoc/Readers/AsciiDoc.hs,src/pandoc_py/formats/asciidoc.py,AsciiDoc reader on the constrained slice,High,implemented_unverified,none,,Smoke verified.
WR-ASCIIDOC-001,Writer,src/Text/Pandoc/Writers/AsciiDoc.hs,src/pandoc_py/formats/asciidoc.py,AsciiDoc writer on the constrained slice,High,implemented_unverified,none,,Smoke verified.
RD-MEDIAWIKI-001,Reader,src/Text/Pandoc/Readers/MediaWiki.hs,src/pandoc_py/formats/mediawiki.py,MediaWiki reader on the constrained slice,High,verified_smoke,smoke,,"Smoke verified. Oracle-backed reader via FAMILIES-RD-<FMT>-001 (format -> json structured comparison, normalized)."
WR-MEDIAWIKI-001,Writer,src/Text/Pandoc/Writers/MediaWiki.hs,src/pandoc_py/formats/mediawiki.py,MediaWiki writer on the constrained slice,High,verified_smoke,smoke,,"Smoke verified. Oracle-backed via FAMILIES-MD2<FMT>-001 / FAMILIES-RD-<FMT>-001 (markdown<->format reparse, structured JSON match with normalization)."
RD-TEXTILE-001,Reader,src/Text/Pandoc/Readers/Textile.hs,src/pandoc_py/formats/textile.py,Textile reader on the constrained slice,High,verified_smoke,smoke,,"Smoke verified. Oracle-backed reader via FAMILIES-RD-<FMT>-001 (format -> json structured comparison, normalized)."
WR-TEXTILE-001,Writer,src/Text/Pandoc/Writers/Textile.hs,src/pandoc_py/formats/textile.py,Textile writer on the constrained slice,High,verified_smoke,smoke,,"Smoke verified. Oracle-backed via FAMILIES-MD2<FMT>-001 / FAMILIES-RD-<FMT>-001 (markdown<->format reparse, structured JSON match with normalization)."
RD-DJOT-001,Reader,src/Text/Pandoc/Readers/Djot.hs,src/pandoc_py/formats/djot.py,Djot reader on the constrained slice,High,verified_smoke,smoke,,"Smoke verified. Oracle-backed reader via FAMILIES-RD-<FMT>-001 (format -> json structured comparison, normalized)."
WR-DJOT-001,Writer,src/Text/Pandoc/Writers/Djot.hs,src/pandoc_py/formats/djot.py,Djot writer on the constrained slice,High,verified_smoke,smoke,,"Smoke verified. Oracle-backed via FAMILIES-MD2<FMT>-001 / FAMILIES-RD-<FMT>-001 (markdown<->format reparse, structured JSON match with normalization)."
RD-DOKUWIKI-001,Reader,src/Text/Pandoc/Readers/DokuWiki.hs,src/pandoc_py/formats/dokuwiki.py,DokuWiki reader on the constrained slice,High,verified_smoke,smoke,,"Smoke verified. Oracle-backed reader via FAMILIES-RD-<FMT>-001 (format -> json structured comparison, normalized)."
WR-DOKUWIKI-001,Writer,src/Text/Pandoc/Writers/DokuWiki.hs,src/pandoc_py/formats/dokuwiki.py,DokuWiki writer on the constrained slice,High,verified_smoke,smoke,,"Smoke verified. Oracle-backed via FAMILIES-MD2DOKUWIKI-001 (markdown→format→oracle reparse, structured JSON match)."
RD-JIRA-001,Reader,src/Text/Pandoc/Readers/Jira.hs,src/pandoc_py/formats/jira.py,Jira wiki reader on the constrained slice,High,verified_smoke,smoke,,"Smoke verified. Oracle-backed reader via FAMILIES-RD-<FMT>-001 (format -> json structured comparison, normalized)."
WR-JIRA-001,Writer,src/Text/Pandoc/Writers/Jira.hs,src/pandoc_py/formats/jira.py,Jira wiki writer on the constrained slice,High,verified_smoke,smoke,,"Smoke verified. Oracle-backed via FAMILIES-MD2<FMT>-001 / FAMILIES-RD-<FMT>-001 (markdown<->format reparse, structured JSON match with normalization)."
RD-CREOLE-001,Reader,src/Text/Pandoc/Readers/Creole.hs,src/pandoc_py/formats/creole.py,Creole wiki reader on the constrained slice,High,implemented_unverified,none,,Smoke verified.
WR-CREOLE-001,Writer,src/Text/Pandoc/Writers/Creole.hs,src/pandoc_py/formats/creole.py,Creole wiki writer on the constrained slice,High,verified_smoke,smoke,,"Smoke verified. Oracle-backed via FAMILIES-MD2<FMT>-001 / FAMILIES-RD-<FMT>-001 (markdown<->format reparse, structured JSON match with normalization)."
RD-TWIKI-001,Reader,src/Text/Pandoc/Readers/TWiki.hs,src/pandoc_py/formats/twiki.py,TWiki reader on the constrained slice,High,implemented_unverified,none,,Smoke verified.
WR-TWIKI-001,Writer,src/Text/Pandoc/Writers/TWiki.hs,src/pandoc_py/formats/twiki.py,TWiki writer on the constrained slice,High,verified_smoke,smoke,,"Smoke verified. Oracle-backed via FAMILIES-MD2<FMT>-001 / FAMILIES-RD-<FMT>-001 (markdown<->format reparse, structured JSON match with normalization)."
